kabupaten_kota,Garis_Kemiskinan,Indeks_Pembangunan_Manusia,Persen_Penduduk_Miskin,Tingkat Pengangguran Terbuka,Upah Minimum,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk,tahun,kuartal,PDRB,Proksi Inflasi,Laju_Inflasi,Gini_Ratio,investasi_per_kapita,Jumlah Perusahaan Kecil
BANGKALAN,458754,66.11,19.44,8.05,1956773.48,1081.75,1.25,2.62,954.5,97.4,2022,1.0,4144.62,Kota Surabaya,3.16,0.306,331.4673913043478,38
BANGKALAN,458754,66.11,19.44,8.05,1956773.48,1081.75,1.25,2.62,954.5,97.4,2022,2.0,4184.8,Kota Surabaya,4.89,0.306,986.4043478046434,37
BANGKALAN,458754,66.11,19.44,8.05,1956773.48,1081.75,1.25,2.62,954.5,97.4,2022,3.0,4481.15,Kota Surabaya,6.91,0.306,1527.247618974893,39
BANGKALAN,458754,66.11,19.44,8.05,1956773.48,1081.75,1.25,2.62,954.5,97.4,2022,4.0,4149.34,Kota Surabaya,6.59,0.306,1103.9615383766184,44
BANGKALAN,503207,66.82,19.35,6.18,2240701.0,1091.8,1.07,2.63,839.0,97.6,2023,1.0,4304.99,Kota Surabaya,6.3,0.299,2403.399999917124,46
BANGKALAN,503207,66.82,19.35,6.18,2240701.0,1091.8,1.07,2.63,839.0,97.6,2023,2.0,4218.59,Kota Surabaya,4.91,0.299,4848.563635922857,54
BANGKALAN,503207,66.82,19.35,6.18,2240701.0,1091.8,1.07,2.63,839.0,97.6,2023,3.0,4409.1,Kota Surabaya,3.14,0.299,4644.069230411994,30
BANGKALAN,503207,66.82,19.35,6.18,2240701.0,1091.8,1.07,2.63,839.0,97.6,2023,4.0,4231.51,Kota Surabaya,3.03,0.299,3610.462499548692,30
BANGKALAN,547017,67.33,18.66,5.35,2397550.0,1102.5,1.04,2.64,847.0,97.7,2024,1.0,4323.94,Kota Surabaya,2.99,0.301,472.3351351223694,31
BANGKALAN,547017,67.33,18.66,5.35,2397550.0,1102.5,1.04,2.64,847.0,97.7,2024,2.0,4425.81,Kota Surabaya,2.35,0.301,10303.381481099874,31
BANGKALAN,547017,67.33,18.66,5.35,2397550.0,1102.5,1.04,2.64,847.0,97.7,2024,3.0,4508.12,Kota Surabaya,1.65,0.301,1562.5311110763882,34
BANGKALAN,547017,67.33,18.66,5.35,2397550.0,1102.5,1.04,2.64,847.0,97.7,2024,4.0,4239.63,Kota Surabaya,"1,38",0.301,417.6522387997365,37
BANYUWANGI,414879,73.15,7.51,5.26,2328899.12,1731.2,0.79,4.2,391.0,100.15,2022,1.0,13487.81,Kabupaten Banyuwangi,2.19,0.329,2938.171559633028,163
BANYUWANGI,414879,73.15,7.51,5.26,2328899.12,1731.2,0.79,4.2,391.0,100.15,2022,2.0,14542.09,Kabupaten Banyuwangi,4.42,0.329,1287.6558766834537,166
BANYUWANGI,414879,73.15,7.51,5.26,2328899.12,1731.2,0.79,4.2,391.0,100.15,2022,3.0,14617.92,Kabupaten Banyuwangi,5.46,0.329,4527.135238052122,175
BANYUWANGI,414879,73.15,7.51,5.26,2328899.12,1731.2,0.79,4.2,391.0,100.15,2022,4.0,15284.73,Kabupaten Banyuwangi,6.06,0.329,3591.2456730596577,189
BANYUWANGI,448928,73.79,7.34,4.75,2638628.0,1743.9,0.76,4.2,485.0,100.1,2023,1.0,14311.95,Kabupaten Banyuwangi,5.71,0.351,968.991740410121,200
BANYUWANGI,448928,73.79,7.34,4.75,2638628.0,1743.9,0.76,4.2,485.0,100.1,2023,2.0,15382.49,Kabupaten Banyuwangi,3.97,0.351,204.8516335225818,249
BANYUWANGI,448928,73.79,7.34,4.75,2638628.0,1743.9,0.76,4.2,485.0,100.1,2023,3.0,15536.79,Kabupaten Banyuwangi,3.1,0.351,2903.1676595682907,139
BANYUWANGI,448928,73.79,7.34,4.75,2638628.0,1743.9,0.76,4.2,485.0,100.1,2023,4.0,15617.12,Kabupaten Banyuwangi,2.15,0.351,2259.293935306928,145
BANYUWANGI,470713,74.3,6.54,4.03,2810139.0,1754.4,0.72,4.2,488.0,100.0,2024,1.0,14990.88,Kabupaten Banyuwangi,2.67,0.312,327.2558399994764,145
BANYUWANGI,470713,74.3,6.54,4.03,2810139.0,1754.4,0.72,4.2,488.0,100.0,2024,2.0,16136.94,Kabupaten Banyuwangi,2.38,0.312,113.84791051071598,145
BANYUWANGI,470713,74.3,6.54,4.03,2810139.0,1754.4,0.72,4.2,488.0,100.0,2024,3.0,16317.59,Kabupaten Banyuwangi,2.07,0.312,1715.9388636344136,151
BANYUWANGI,470713,74.3,6.54,4.03,2810139.0,1754.4,0.72,4.2,488.0,100.0,2024,4.0,16248.16,Kabupaten Banyuwangi,"1,73",0.312,1619.6897163101423,371
BLITAR,355511,72.25,8.71,5.45,2015071.18,1242.3,0.83,3.01,819.5,101.35,2022,1.0,6591.92,Kota Kediri,2.33,0.335,66.7378733572282,29
BLITAR,355511,72.25,8.71,5.45,2015071.18,1242.3,0.83,3.01,819.5,101.35,2022,2.0,7025.3,Kota Kediri,4.03,0.335,447.7999999827769,29
BLITAR,355511,72.25,8.71,5.45,2015071.18,1242.3,0.83,3.01,819.5,101.35,2022,3.0,6699.92,Kota Kediri,6.29,0.335,90.71187904957807,55
BLITAR,355511,72.25,8.71,5.45,2015071.18,1242.3,0.83,3.01,819.5,101.35,2022,4.0,6720.19,Kota Kediri,5.76,0.335,495.34429347691486,58
BLITAR,387733,72.84,8.69,4.91,2256050.0,1253.6,0.88,3.02,718.0,101.2,2023,1.0,6905.4,Kota Kediri,5.36,0.36,1166.2882352712493,40
BLITAR,387733,72.84,8.69,4.91,2256050.0,1253.6,0.88,3.02,718.0,101.2,2023,2.0,7313.55,Kota Kediri,3.92,0.36,217.93319148905255,54
BLITAR,387733,72.84,8.69,4.91,2256050.0,1253.6,0.88,3.02,718.0,101.2,2023,3.0,7109.3,Kota Kediri,2.55,0.36,72.94549618309475,46
BLITAR,387733,72.84,8.69,4.91,2256050.0,1253.6,0.88,3.02,718.0,101.2,2023,4.0,6911.6,Kota Kediri,2.64,0.36,23.852181208013672,22
BLITAR,408399,73.44,8.16,4.77,2413974.0,1263.7,0.86,3.02,724.0,101.1,2024,1.0,7056.4,Kota Kediri,2.88,0.353,44.2407407406147,48
BLITAR,408399,73.44,8.16,4.77,2413974.0,1263.7,0.86,3.02,724.0,101.1,2024,2.0,7699.31,Kota Kediri,1.72,0.353,191.6846381090226,48
BLITAR,408399,73.44,8.16,4.77,2413974.0,1263.7,0.86,3.02,724.0,101.1,2024,3.0,7472.31,Kota Kediri,0.88,0.353,690.4261133589263,52
BLITAR,408399,73.44,8.16,4.77,2413974.0,1263.7,0.86,3.02,724.0,101.1,2024,4.0,7265.78,Kota Kediri,"1,19",0.353,304.444848483926,107
BOJONEGORO,403403,71.15,12.21,4.69,2079568.07,1313.6,0.55,3.19,583.0,100.75,2022,1.0,15712.1,Kota Surabaya,3.16,0.28,203.038219895288,104
BOJONEGORO,403403,71.15,12.21,4.69,2079568.07,1313.6,0.55,3.19,583.0,100.75,2022,2.0,15316.65,Kota Surabaya,4.89,0.28,25.899217221084346,109
BOJONEGORO,403403,71.15,12.21,4.69,2079568.07,1313.6,0.55,3.19,583.0,100.75,2022,3.0,15122.55,Kota Surabaya,6.91,0.28,423.7432727265023,122
BOJONEGORO,403403,71.15,12.21,4.69,2079568.07,1313.6,0.55,3.19,583.0,100.75,2022,4.0,15631.56,Kota Surabaya,6.59,0.28,271.60983050755385,128
BOJONEGORO,435936,71.8,12.18,4.63,2371016.0,1319.6,0.5,3.18,571.0,100.7,2023,1.0,16133.63,Kota Surabaya,6.3,0.283,400.04678571285694,138
